GCA_022829085.1	https://ftp.ensembl.org/pub/rapid-release/species//Abramis_brama/GCA_022829085.1/ensembl/geneset/2024_01/Abramis_brama-GCA_022829085.1-2024_01-genes.gff3.gz
GCA_905340225.1	https://ftp.ensembl.org/pub/rapid-release/species//Abrostola_tripartita/GCA_905340225.1/ensembl/geneset/2021_11/Abrostola_tripartita-GCA_905340225.1-2021_11-genes.gff3.gz
GCA_905340255.1	https://ftp.ensembl.org/pub/rapid-release/species//Abrostola_tripartita/GCA_905340255.1/ensembl/geneset/2021_11/Abrostola_tripartita-GCA_905340255.1-2021_11-genes.gff3.gz
GCA_946251915.1	https://ftp.ensembl.org/pub/rapid-release/species//Abrostola_triplasia/GCA_946251915.1/ensembl/geneset/2023_02/Abrostola_triplasia-GCA_946251915.1-2023_02-genes.gff3.gz
GCA_946251925.1	https://ftp.ensembl.org/pub/rapid-release/species//Abrostola_triplasia/GCA_946251925.1/ensembl/geneset/2023_04/Abrostola_triplasia-GCA_946251925.1-2023_04-genes.gff3.gz
GCA_001949145.1	https://ftp.ensembl.org/pub/rapid-release/species//Acanthaster_planci/GCA_001949145.1/refseq/geneset/2022_03/Acanthaster_planci-GCA_001949145.1-2022_03-genes.gff3.gz
GCA_904848185.1	https://ftp.ensembl.org/pub/rapid-release/species//Acanthopagrus_latus/GCA_904848185.1/ensembl/geneset/2022_03/Acanthopagrus_latus-GCA_904848185.1-2022_03-genes.gff3.gz
GCA_930367205.1	https://ftp.ensembl.org/pub/rapid-release/species//Acanthosoma_haemorrhoidale/GCA_930367205.1/ensembl/geneset/2023_05/Acanthosoma_haemorrhoidale-GCA_930367205.1-2023_05-genes.gff3.gz
GCA_012487025.1	https://ftp.ensembl.org/pub/rapid-release/species//Accipiter_gentilis/GCA_012487025.1/ensembl/geneset/2020_04/Accipiter_gentilis-GCA_012487025.1-2020_04-genes.gff3.gz
GCA_943193645.1	https://ftp.ensembl.org/pub/rapid-release/species//Acentria_ephemerella/GCA_943193645.1/braker/geneset/2022_07/Acentria_ephemerella-GCA_943193645.1-2022_07-genes.gff3.gz
